name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAMY1	SEEG	V	n/a	n/a	RAMY	999	depth	n/a
RAMY3	SEEG	V	n/a	n/a	RAMY	999	depth	n/a
RAMY5	SEEG	V	n/a	n/a	RAMY	999	depth	n/a
RAMY7	SEEG	V	n/a	n/a	RAMY	999	depth	n/a
RAMY9	SEEG	V	n/a	n/a	RAMY	999	depth	n/a
RAINS1	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS2	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS3	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS4	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS5	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS6	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS7	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS8	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RAINS10	SEEG	V	n/a	n/a	RAINS	999	depth	n/a
RMINS1	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS2	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS3	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS4	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS5	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS6	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS7	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS8	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS9	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RMINS10	SEEG	V	n/a	n/a	RMINS	999	depth	n/a
RPINS1	SEEG	V	n/a	n/a	RPINS	999	depth	n/a
RPINS3	SEEG	V	n/a	n/a	RPINS	999	depth	n/a
RPINS5	SEEG	V	n/a	n/a	RPINS	999	depth	n/a
RPINS7	SEEG	V	n/a	n/a	RPINS	999	depth	n/a
RAC1	SEEG	V	n/a	n/a	RAC	999	depth	n/a
RAC3	SEEG	V	n/a	n/a	RAC	999	depth	n/a
RAC5	SEEG	V	n/a	n/a	RAC	999	depth	n/a
RAC7	SEEG	V	n/a	n/a	RAC	999	depth	n/a
RAC9	SEEG	V	n/a	n/a	RAC	999	depth	n/a
