name	x	y	z	size	group	hemisphere	type
AMY1	-16.0531	2.93671	-26.2750360425688	-999	AMY	L	depth
AMY2	-18.5563	3.82114	-26.9753990081624	-999	AMY	L	depth
AMY3	-21.5836	3.76395	-27.8329624233066	-999	AMY	L	depth
AMY4	-24.2871	4.09105	-28.3605410955933	-999	AMY	L	depth
AMY5	-26.9737	4.19077	-28.3978628571507	-999	AMY	L	depth
AMY6	-30.9738	4.90999	-28.6311849115206	-999	AMY	L	depth
AMY7	-35.1928	5.23161	-29.7922847773682	-999	AMY	L	depth
AMY8	-40.6705	6.82506	-28.8744619181868	-999	AMY	L	depth
AMY9	-44.5895	8.00541	-25.8821177532242	-999	AMY	L	depth
AMY10	-49.3119	9.28384	-25.2750503272937	-999	AMY	L	depth
HCH1	-19.4703	-8.61916	-21.2262808660025	-999	HCH	L	depth
HCH2	-22.5307	-8.16645	-21.6035570495576	-999	HCH	L	depth
HCH3	-27.9146	-8.66373	-23.1084908740376	-999	HCH	L	depth
HCH4	-33.5974	-8.48821	-23.0095738474457	-999	HCH	L	depth
HCH5	-39.8263	-8.82649	-23.1696274286612	-999	HCH	L	depth
HCH6	-44.4173	-9.1733	-21.246109227567	-999	HCH	L	depth
HCH7	-49.8754	-9.58606	-21.5666799259545	-999	HCH	L	depth
HCH8	-56.2587	-8.86554	-19.9493036421127	-999	HCH	L	depth
BT1	-14.564	-35.2534	-8.1368437599073	-999	BT	L	depth
BT2	-17.4648	-36.7725	-9.37090926145151	-999	BT	L	depth
BT3	-20.7063	-37.9893	-9.55597607266384	-999	BT	L	depth
BT4	-23.7529	-38.5099	-9.15089459209534	-999	BT	L	depth
BT5	-27.4776	-39.1115	-9.80090405851744	-999	BT	L	depth
BT6	-30.971	-39.671	-10.9089642938472	-999	BT	L	depth
BT7	-34.9785	-39.9683	-12.1167544537594	-999	BT	L	depth
BT8	-38.2142	-40.3599	-13.2461085978492	-999	BT	L	depth
BT9	-41.0365	-41.145	-14.8829161992873	-999	BT	L	depth
BT10	-44.3185	-41.3311	-14.7821347843402	-999	BT	L	depth
BT11	-47.8537	-40.051	-14.2143007063313	-999	BT	L	depth
BT12	-52.6267	-37.9498	-13.6987074676804	-999	BT	L	depth
BT13	-58.0549	-37.097	-11.5887354408454	-999	BT	L	depth
BT14	-65.742	-35.4334	-7.26868794107764	-999	BT	L	depth
TOJ1	-14.6962	-47.8522	-4.40083261088947	-999	TOJ	L	depth
TOJ2	-17.1512	-48.2208	-4.75784879608682	-999	TOJ	L	depth
TOJ3	-19.5476	-48.117	-4.21027328472264	-999	TOJ	L	depth
TOJ4	-22.1711	-48.7986	-4.94842191416364	-999	TOJ	L	depth
TOJ5	-25.0301	-49.7032	-5.40499327473773	-999	TOJ	L	depth
TOJ6	-28.8195	-50.4542	-5.98821879181024	-999	TOJ	L	depth
TOJ7	-33.5028	-51.7623	-7.58273099865821	-999	TOJ	L	depth
TOJ8	-38.5231	-53.5584	-8.04196008772531	-999	TOJ	L	depth
TOJ9	-42.2048	-53.9638	-7.11522446346985	-999	TOJ	L	depth
TOJ10	-46.4239	-53.6192	-5.88355280500931	-999	TOJ	L	depth
TOJ11	-50.7661	-52.8374	-3.80334957162427	-999	TOJ	L	depth
TOJ12	-55.6708	-50.3576	-0.625165125993537	-999	TOJ	L	depth
TOJ13	-60.6785	-49.5246	0.79852724147666	-999	TOJ	L	depth
TOJ14	-65.1091	-49.6393	2.45648006718196	-999	TOJ	L	depth
PCC1	0.552474	-46.1932	27.8857325102454	-999	PCC	R	depth
PCC2	-3.93019	-47.3626	27.4473760765673	-999	PCC	L	depth
PCC3	-9.11747	-46.5761	27.3075457362143	-999	PCC	L	depth
PCC4	-12.6836	-44.7609	27.0530101669387	-999	PCC	L	depth
PCC5	-17.337	-44.3909	26.7122458262079	-999	PCC	L	depth
