name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
OF1	19.5224	29.2734	-22.0536881939347	-999	OF	R	depth	18.2732	29.3892	-15.8663	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
OF2	20.5404	30.2979	-19.2966054466921	-999	OF	R	depth	18.333	30.8165	-12.8516	Right MOrG medial orbital gyrus	lateralorbitofrontal	n/a	n/a
OF3	22.2775	31.1903	-15.8574997427877	-999	OF	R	depth	19.5004	32.236	-9.84456	Right MOrG medial orbital gyrus	lateralorbitofrontal	n/a	n/a
OF4	22.1669	32.5159	-11.9178586647882	-999	OF	R	depth	20.6677	33.6555	-6.83754	Right MOrG medial orbital gyrus	lateralorbitofrontal	n/a	n/a
OF5	23.447	33.4355	-7.30217521146418	-999	OF	R	depth	22.4077	35.2005	-2.80865	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
OF7	25.1671	36.558	0.425978721322277	-999	OF	R	depth	24.7424	38.0638	3.69085	Right Cerebral White Matter	parstriangularis	n/a	n/a
OF8	25.2554	38.4613	6.61593439119877	-999	OF	R	depth	25.9284	39.6321	8.1141	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
OF9	25.3705	39.6374	16.9587204041427	-999	OF	R	depth	27.1331	41.3349	13.6612	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
OF10	24.3451	41.029	21.8312586216195	-999	OF	R	depth	27.1743	42.6425	15.8453	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
OF11	23.3436	42.699	28.2768870558239	-999	OF	R	depth	29.4867	44.3374	21.3839	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
OF12	23.0205	44.2655	31.8556028522091	-999	OF	R	depth	30.6726	45.9058	25.8071	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
OF13	24.2107	45.1547	34.0142896078846	-999	OF	R	depth	31.84	47.3399	29.1065	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
AC1	7.73055	30.5764	36.516569462984	-999	AC	R	depth	7.97694	28.4201	31.5866	Right Cerebral White Matter	superiorfrontal	n/a	n/a
AC2	14.9987	28.9874	34.6611732970684	-999	AC	R	depth	15.7481	28.4992	32.6512	Right Cerebral White Matter	superiorfrontal	n/a	n/a
AC3	20.7882	26.4121	33.0652875214115	-999	AC	R	depth	22.9656	28.5824	33.7201	Right Cerebral White Matter	superiorfrontal	n/a	n/a
AC4	26.6771	25.4249	36.5159953475702	-999	AC	R	depth	28.5218	28.6775	34.8016	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
AC5	34.8275	26.3805	38.2298425852699	-999	AC	R	depth	35.1856	28.7646	35.8747	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
AC6	41.8804	27.2887	38.4903542750053	-999	AC	R	depth	41.8344	29.7565	35.7604	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
AC7	47.9703	24.494	38.0793741642474	-999	AC	R	depth	49.0519	29.8397	36.8293	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
AC8	53.4635	24.1129	37.6761946192269	-999	AC	R	depth	55.7155	29.9269	37.9024	n/a	rostralmiddlefrontal	n/a	n/a
