name	x	y	z	size	group	hemisphere	type	wb.region	ind.region	das.region	stein.region
LAH1	-25.6697	-0.759068	-20.9656	-999	LAH	L	depth	Left Amygdala	n/a	n/a	Left Amy
LAH2	-31.1951	-0.131725	-19.4221	-999	LAH	L	depth	Left Cerebral White Matter	n/a	n/a	Left Amy
LAH3	-36.3124	1.58465	-18.4782	-999	LAH	L	depth	Left Cerebral White Matter	n/a	n/a	n/a
LAH4	-41.8377	2.21306	-16.9347	-999	LAH	L	depth	Left PP planum polare	superiortemporal	n/a	n/a
LAH5	-46.2516	2.92638	-15.4468	-999	LAH	L	depth	Left PP planum polare	superiortemporal	n/a	n/a
LAH6	-51.9241	4.59977	-14.475	-999	LAH	L	depth	Left STG superior temporal gyrus	superiortemporal	n/a	n/a
LAH7	-57.4506	5.22814	-12.9315	-999	LAH	L	depth	Left STG superior temporal gyrus	superiortemporal	n/a	n/a
LAH8	-63.5937	5.80913	-11.9725	-999	LAH	L	depth	n/a	superiortemporal	n/a	n/a
LAH9	-67.017	6.60168	-11.7651	-999	LAH	L	depth	n/a	superiortemporal	n/a	n/a
LAH10	-71.3945	8.37116	-9.01177	-999	LAH	L	depth	n/a	superiortemporal	n/a	n/a
LMH1	-17.2693	-10.1631	-12.4982	-999	LMH	L	depth	Left Hippocampus	n/a	DG	Left DG
LMH2	-23.0385	-9.54926	-13.4043	-999	LMH	L	depth	Left Hippocampus	n/a	DG	Left CA3
LMH3	-27.5732	-8.84268	-13.1413	-999	LMH	L	depth	Left Hippocampus	n/a	n/a	Left CA1
LMH4	-33.2215	-8.22211	-12.8225	-999	LMH	L	depth	Left Cerebral White Matter	n/a	n/a	n/a
LMH5	-39.4685	-7.11978	-12.4557	-999	LMH	L	depth	Left PP planum polare	superiortemporal	n/a	n/a
LMH6	-45.1158	-6.49917	-12.1369	-999	LMH	L	depth	Left Cerebral White Matter	superiortemporal	n/a	n/a
LMH7	-49.6152	-4.73643	-10.6084	-999	LMH	L	depth	Left Cerebral White Matter	superiortemporal	n/a	n/a
LMH8	-55.2637	-4.11585	-10.2896	-999	LMH	L	depth	Left Cerebral White Matter	superiortemporal	n/a	n/a
LMH9	-61.4068	-3.53382	-9.33083	-999	LMH	L	depth	Left STG superior temporal gyrus	superiortemporal	n/a	n/a
LMH10	-67.0541	-2.91322	-9.01209	-999	LMH	L	depth	Left MTG middle temporal gyrus	middletemporal	n/a	n/a
LPH1	-31.0223	-15.4561	-8.2624	-999	LPH	L	depth	Left Cerebral White Matter	fusiform	n/a	n/a
LPH2	-36.2364	-14.7992	-9.19634	-999	LPH	L	depth	Left Cerebral White Matter	fusiform	n/a	n/a
LPH3	-41.944	-14.182	-9.49008	-999	LPH	L	depth	Left Cerebral White Matter	middletemporal	n/a	n/a
LPH4	-47.7132	-13.5682	-10.3961	-999	LPH	L	depth	Left Cerebral White Matter	superiortemporal	n/a	n/a
LPH5	-53.3617	-12.9476	-10.0775	-999	LPH	L	depth	Left Cerebral White Matter	superiortemporal	n/a	n/a
LPH6	-59.6256	-12.3733	-10.3433	-999	LPH	L	depth	Left Cerebral White Matter	middletemporal	n/a	n/a
LPH7	-64.2834	-11.6746	-11.3049	-999	LPH	L	depth	Left Cerebral White Matter	middletemporal	n/a	n/a
LPH8	-69.9307	-11.054	-10.9862	-999	LPH	L	depth	Left MTG middle temporal gyrus	middletemporal	n/a	n/a
LPH9	-75.7433	-9.91543	-11.8721	-999	LPH	L	depth	n/a	middletemporal	n/a	n/a
LPH10	-80.2529	-10.2627	-12.2619	-999	LPH	L	depth	n/a	middletemporal	n/a	n/a
RPG1	47.8594	-65.3589	-10.4358	-999	RPG	R	grid	n/a	middletemporal	n/a	n/a
RPG2	46.5204	-73.3886	-8.1787	-999	RPG	R	grid	n/a	inferiortemporal	n/a	n/a
RPG3	42.3935	-80.0513	-4.49693	-999	RPG	R	grid	n/a	inferiortemporal	n/a	n/a
RPG4	38.6762	-85.6249	-1.41493	-999	RPG	R	grid	n/a	inferiortemporal	n/a	n/a
RPG5	32.6484	-90.3206	1.81895	-999	RPG	R	grid	n/a	fusiform	n/a	n/a
RPG6	26.4567	-94.4985	3.84822	-999	RPG	R	grid	n/a	fusiform	n/a	n/a
RPG7	18.467	-97.2254	6.1314	-999	RPG	R	grid	n/a	fusiform	n/a	n/a
RPG8	10.6801	-97.8239	6.55502	-999	RPG	R	grid	n/a	fusiform	n/a	n/a
RPG9	54.0291	-64.8945	-4.58987	-999	RPG	R	grid	n/a	middletemporal	n/a	n/a
