name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LJ1	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ2	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ3	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ4	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ5	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ6	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ7	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ8	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ9	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ10	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ11	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ12	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ13	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ14	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ15	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ16	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ17	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ18	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LL1	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL2	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL3	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL4	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL5	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL6	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL7	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL8	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL9	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL10	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL11	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL12	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL13	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL14	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL15	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL16	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL17	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL18	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LI1	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI2	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI3	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI4	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI5	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI6	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI7	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI8	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI9	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI10	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI11	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI12	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI13	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI14	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI15	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI16	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI17	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI18	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LBA1	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA2	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA3	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA4	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA5	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA6	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA7	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LBA8	SEEG	V	n/a	n/a	LBA	1000	depth	n/a
LK1	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK2	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK3	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK4	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK5	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK6	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK7	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK8	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK9	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK10	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK11	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK12	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK13	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK14	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK15	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK16	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK17	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK18	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LOA1	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA2	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA3	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA4	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA5	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA6	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA7	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA8	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA9	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA10	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA11	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOA12	SEEG	V	n/a	n/a	LOA	1000	depth	n/a
LOP1	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP2	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP3	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP4	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP5	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP6	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP7	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
LOP8	SEEG	V	n/a	n/a	LOP	1000	depth	n/a
