name	x	y	z	size	group	hemisphere	type
RB1	25.7167	-15.1842	-22.2930453662013	5.024	RB	R	depth
RB2	27.4399	-15.4479	-21.906745237076	5.024	RB	R	depth
RB3	32.2668	-16.9617	-22.0818820725675	5.024	RB	R	depth
RB4	36.183	-16.2853	-21.1660165582999	5.024	RB	R	depth
RB8	51.5806	-14.6582	-19.0021384250611	5.024	RB	R	depth
RB10	59.7214	-14.5555	-17.7161730256449	5.024	RB	R	depth
RB11	62.4361	-13.781	-16.0566813092536	5.024	RB	R	depth
RB12	67.359	-14.2175	-17.0004309916924	5.024	RB	R	depth
RA1	20.0628	-0.294533	-25.7648508757489	5.024	RA	R	depth
RA2	23.0174	-1.57157	-25.0387333290405	5.024	RA	R	depth
RA3	27.1017	-2.26272	-24.1906815658833	5.024	RA	R	depth
RA8	47.2024	-2.30564	-21.0998846895115	5.024	RA	R	depth
RA9	51.296	-2.52254	-20.3434686653901	5.024	RA	R	depth
RA11	58.5889	-3.41422	-19.8316070810336	5.024	RA	R	depth
RA12	62.2566	-3.7181	-20.4829735466401	5.024	RA	R	depth
RT1	41.3473	-0.822225	-0.539951400650532	5.024	RT	R	depth
RT2	44.0086	-0.559291	-0.173247146486927	5.024	RT	R	depth
RT3	48.1414	-2.22909	-1.56118536395651	5.024	RT	R	depth
RT4	54.019	-4.35112	-3.28448994948038	5.024	RT	R	depth
RT6	61.9193	-3.691	-2.01724836784919	5.024	RT	R	depth
RT7	64.7079	-3.50776	-0.757187360502622	5.024	RT	R	depth
RC1	30.053	-24.2876	-17.3783130858091	5.024	RC	R	depth
RC2	31.3962	-25.4359	-17.3763181178806	5.024	RC	R	depth
RC6	49.3611	-22.3693	-9.60493425070427	5.024	RC	R	depth
RC7	53.1691	-21.9673	-7.76974796964046	5.024	RC	R	depth
RC9	60.5898	-22.457	-5.39452169989221	5.024	RC	R	depth
RC10	64.2293	-21.1842	-4.54975109340358	5.024	RC	R	depth
RC11	69.6143	-20.7242	-6.08016550122796	5.024	RC	R	depth
RF1	16.6465	-36.1835	-8.80740840061075	5.024	RF	R	depth
RF2	19.4755	-38.0252	-9.91417129639371	5.024	RF	R	depth
RF3	23.8884	-38.8718	-9.89262568640328	5.024	RF	R	depth
RF4	27.5709	-39.5833	-9.31898331669476	5.024	RF	R	depth
RF5	30.9913	-40.1476	-9.26343682136944	5.024	RF	R	depth
RF11	56.9595	-37.1833	-5.77446302787137	5.024	RF	R	depth
RF13	64.9524	-36.6039	-2.44202856620047	5.024	RF	R	depth
RF14	69.4832	-36.7241	-0.97636841778088	5.024	RF	R	depth
RY1	45.0047	5.40853	-5.38621525801633	5.024	RY	R	depth
RY2	43.9506	5.99477	-4.6097975209745	5.024	RY	R	depth
RY3	42.2826	9.24962	1.44346532268828	5.024	RY	R	depth
RY4	41.5794	11.8052	6.71437327439775	5.024	RY	R	depth
RY5	40.5979	14.0899	11.186988039463	5.024	RY	R	depth
RY10	28.4324	25.6864	37.1260771676799	5.024	RY	R	depth
RY11	26.6126	27.3552	41.8297046914742	5.024	RY	R	depth
RY12	24.0266	29.7252	46.1085323066532	5.024	RY	R	depth
RY13	21.3136	32.5643	50.1133333281771	5.024	RY	R	depth
RY14	18.939	34.7028	54.3158435428626	5.024	RY	R	depth
RX1	1.41663	-41.1526	33.9717544671825	5.024	RX	R	depth
RX2	4.9069	-41.3198	35.2205176362962	5.024	RX	R	depth
RX3	7.97196	-41.9133	39.0629542024902	5.024	RX	R	depth
RX4	11.5618	-42.6623	39.1473726804915	5.024	RX	R	depth
RX5	15.1936	-43.7436	38.0538607589658	5.024	RX	R	depth
RX9	34.3638	-41.012	37.1205088454442	5.024	RX	R	depth
RX10	40.151	-41.4607	35.9448548329285	5.024	RX	R	depth
RX12	47.6544	-40.7295	39.2767707545484	5.024	RX	R	depth
RX14	53.5213	-43.7902	41.7342173473661	5.024	RX	R	depth
RX15	57.4396	-44.966	42.9097735854266	5.024	RX	R	depth
RP1	1.36756	-62.386	45.5507677362742	5.024	RP	R	depth
RP2	3.56143	-61.6545	46.1188866325247	5.024	RP	R	depth
RP4	11.5613	-62.3837	44.677803032591	5.024	RP	R	depth
RP8	23.6812	-59.7141	40.2538019063542	5.024	RP	R	depth
RP11	40.1376	-62.7183	38.1802936382566	5.024	RP	R	depth
RP12	42.0698	-62.2115	39.373998100041	5.024	RP	R	depth
RP14	47.3478	-61.385	40.4903820419267	5.024	RP	R	depth
RP15	50.987	-61.3165	41.053641720459	5.024	RP	R	depth
RO1	-16.0423	47.5303	-26.3449065950583	5.024	RO	L	depth
RO4	-0.286599	46.8172	-19.561587257494	5.024	RO	L	depth
RO5	4.236	47.3413	-19.0852454477391	5.024	RO	R	depth
RO6	12.3949	46.9896	-17.6980724503179	5.024	RO	R	depth
RO8	22.9421	47.5095	-17.561257672414	5.024	RO	R	depth
RO9	26.8453	47.035	-16.1387876134661	5.024	RO	R	depth
RO10	30.5011	46.3738	-14.9357019440384	5.024	RO	R	depth
RO13	43.4879	45.276	-8.39271696578466	5.024	RO	R	depth
RO14	49.7749	44.164	-5.20299649164527	5.024	RO	R	depth
RI1	20.8131	-1.33032	-35.4341288269975	5.024	RI	R	depth
RI2	23.1618	-1.90449	-35.2395864732458	5.024	RI	R	depth
RI4	34.4325	-2.13929	-35.5196403559274	5.024	RI	R	depth
RI9	50.776	4.84867	-34.3216460401482	5.024	RI	R	depth
RI10	55.3619	5.6252	-34.3669074819403	5.024	RI	R	depth
LB1	-21.2706	-3.37342	-20.3755710005901	5.024	LB	L	depth
LB2	-23.8147	-4.33648	-20.6130099498356	5.024	LB	L	depth
LB3	-28.098	-5.2382	-23.2937602831644	5.024	LB	L	depth
LB11	-61.2172	-3.04972	-24.8941061046374	5.024	LB	L	depth
LB12	-63.7861	-2.8536	-24.9259912063222	5.024	LB	L	depth
LA1	-19.9436	0.417695	-21.014806397008	5.024	LA	L	depth
LA2	-22.1935	0.675878	-21.6245549091139	5.024	LA	L	depth
LA3	-26.8705	-0.57863	-23.9979366858639	5.024	LA	L	depth
LA4	-30.5142	-0.54425	-25.2592191479602	5.024	LA	L	depth
LA9	-50.5704	4.25978	-23.8051624660789	5.024	LA	L	depth
LA10	-53.9382	5.17633	-24.163401459007	5.024	LA	L	depth
LI1	-20.4959	1.09572	-34.3960053151635	5.024	LI	L	depth
LI2	-22.5176	0.983696	-36.1940638872911	5.024	LI	L	depth
LI4	-27.4659	1.81881	-37.3536886589912	5.024	LI	L	depth
LI8	-46.8006	9.96786	-33.0151706876641	5.024	LI	L	depth
LI9	-50.2279	12.3258	-33.4130368732131	5.024	LI	L	depth
LI10	-54.3102	12.4748	-36.2895340358583	5.024	LI	L	depth
LT1	-39.1374	0.52418	-1.60449032127044	5.024	LT	L	depth
LT2	-43.3882	1.40038	-1.80654184124359	5.024	LT	L	depth
LT3	-47.7516	1.43978	-2.94479120794241	5.024	LT	L	depth
LT4	-51.3766	0.878146	-4.31702210659613	5.024	LT	L	depth
LT6	-60.8383	0.379329	-6.50249082129824	5.024	LT	L	depth
LT7	-65.121	0.72885	-6.84398304557753	5.024	LT	L	depth
LC1	-26.6088	-30.4253	-11.1577086082339	5.024	LC	L	depth
LC2	-30.0935	-31.1423	-10.2710416346496	5.024	LC	L	depth
LC3	-33.7094	-32.1882	-10.8446303057853	5.024	LC	L	depth
LC7	-48.2558	-29.6383	-6.12423645838844	5.024	LC	L	depth
LC8	-51.4032	-29.4163	-5.09410276209945	5.024	LC	L	depth
LC10	-60.1932	-30.2383	-7.78368557791018	5.024	LC	L	depth
LC11	-64.5184	-30.8064	-8.2832288823734	5.024	LC	L	depth
LC12	-69.2161	-32.002	-8.34968621885269	5.024	LC	L	depth
LX1	-0.593873	-53.1221	21.9426070111853	5.024	LX	L	depth
LX2	-3.50405	-51.7699	22.3476463490758	5.024	LX	L	depth
LX11	-39.2808	-52.174	28.2220218029672	5.024	LX	L	depth
LX12	-44.431	-52.6098	28.2687749772052	5.024	LX	L	depth
LX13	-48.8258	-53.7744	26.6317241716706	5.024	LX	L	depth
LX14	-54.048	-52.5588	28.6233566796993	5.024	LX	L	depth
LX15	-59.52	-50.4547	29.1179585989415	5.024	LX	L	depth
LY1	-44.7699	8.86007	-12.1192390218484	5.024	LY	L	depth
LY2	-44.5031	9.97251	-10.7749267191018	5.024	LY	L	depth
LY3	-42.6882	12.7151	-8.1098325082572	5.024	LY	L	depth
LY4	-41.3373	16.0613	-6.08688906836353	5.024	LY	L	depth
LY5	-41.1191	19.862	-2.18094124514234	5.024	LY	L	depth
LY6	-40.1927	21.7336	1.49201262969854	5.024	LY	L	depth
LY12	-28.8121	39.7555	27.9106895489944	5.024	LY	L	depth
LY14	-26.956	44.411	34.5696342494937	5.024	LY	L	depth
LY15	-27.6852	47.1635	37.6534463294789	5.024	LY	L	depth
