name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LAMYD1-LAMYD2	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD2-LAMYD3	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD3-LAMYD4	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD4-LAMYD5	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD5-LAMYD6	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD6-LAMYD7	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD7-LAMYD8	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD8-LAMYD9	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAMYD9-LAMYD10	SEEG	V	n/a	n/a	bipolar	LAMYD	500	depth	n/a
LAHD1-LAHD2	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD2-LAHD3	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD3-LAHD4	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD4-LAHD5	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD5-LAHD6	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD6-LAHD7	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD7-LAHD8	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD8-LAHD9	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LAHD9-LAHD10	SEEG	V	n/a	n/a	bipolar	LAHD	500	depth	n/a
LMHD1-LMHD2	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD2-LMHD3	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD3-LMHD4	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD4-LMHD5	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD5-LMHD6	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD6-LMHD7	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD7-LMHD8	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD8-LMHD9	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LMHD9-LMHD10	SEEG	V	n/a	n/a	bipolar	LMHD	500	depth	n/a
LPHD1-LPHD2	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD2-LPHD3	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD3-LPHD4	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD4-LPHD5	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD5-LPHD6	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD6-LPHD7	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD7-LPHD8	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD8-LPHD9	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LPHD9-LPHD10	SEEG	V	n/a	n/a	bipolar	LPHD	500	depth	n/a
LMFS1-LMFS2	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS2-LMFS3	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS3-LMFS4	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS4-LMFS5	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS5-LMFS6	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS6-LMFS7	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS7-LMFS8	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS8-LMFS9	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LMFS9-LMFS10	ECOG	V	n/a	n/a	bipolar	LMFS	500	strip	n/a
LLFS1-LLFS2	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS2-LLFS3	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS3-LLFS4	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS4-LLFS5	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS5-LLFS6	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS6-LLFS7	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS7-LLFS8	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS8-LLFS9	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LLFS9-LLFS10	ECOG	V	n/a	n/a	bipolar	LLFS	500	strip	n/a
LFTS1-LFTS2	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS2-LFTS3	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS3-LFTS4	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS4-LFTS5	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS5-LFTS6	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS6-LFTS7	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS7-LFTS8	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS8-LFTS9	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
LFTS9-LFTS10	ECOG	V	n/a	n/a	bipolar	LFTS	500	strip	n/a
RAMYD1-RAMYD2	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD2-RAMYD3	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD3-RAMYD4	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD4-RAMYD5	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD5-RAMYD6	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD6-RAMYD7	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD7-RAMYD8	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD8-RAMYD9	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAMYD9-RAMYD10	SEEG	V	n/a	n/a	bipolar	RAMYD	500	depth	n/a
RAHD1-RAHD2	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD2-RAHD3	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD3-RAHD4	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD4-RAHD5	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD5-RAHD6	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD6-RAHD7	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD7-RAHD8	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD8-RAHD9	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RAHD9-RAHD10	SEEG	V	n/a	n/a	bipolar	RAHD	500	depth	n/a
RMHD1-RMHD2	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD2-RMHD3	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD3-RMHD4	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD4-RMHD5	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD5-RMHD6	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD6-RMHD7	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD7-RMHD8	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD8-RMHD9	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
RMHD9-RMHD10	SEEG	V	n/a	n/a	bipolar	RMHD	500	depth	n/a
